Site,TRT,Year,A. acuminata,Caulerpa,CCA,Corallimorph,Cyano,Sediment,Hydnophora,Leptastrea,Montipora sp.,M. capitata,Peyssonnelia,P. damicornis,Pocillopora sp.,P. lobata,Psammocora,Turf,Red_calc_mac,Dictyota,Galaxaura,Halimeda,Limestone,Lobophora,Grand Total
101,REM,1408,0,0,2,198,0,1,0,0,0,0,14,0,0,0,0,49,0,0,0,1,3,0,268
103,RAN,1408,0,0,13,122,0,0,0,0,0,0,13,0,0,0,0,63,0,0,0,0,0,0,211
105,BYSP,1408,0,0,3,140,0,18,0,0,0,0,13,0,0,0,0,75,1,0,3,0,7,0,260
107,XSP,1408,0,0,30,164,0,0,0,0,0,0,15,0,0,0,0,56,0,0,0,0,0,0,265
109,RAN,1408,0,0,1,250,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,4,0,277
111,REM,1408,0,0,4,198,0,4,0,0,0,0,17,0,0,0,0,23,0,0,0,0,9,0,255
113,XSP,1408,0,0,1,178,0,1,0,0,0,0,9,0,0,0,0,52,1,0,0,0,2,0,244
115,BYSP,1408,0,0,6,226,0,4,0,0,0,0,2,0,0,0,0,39,0,0,0,0,4,0,281
117,RAN,1408,0,0,26,149,0,4,0,0,0,0,7,0,0,0,0,81,3,0,0,0,6,0,276
123,XSP,1408,0,0,2,181,0,11,0,0,0,0,0,0,0,0,0,59,0,0,0,0,7,0,260
127,BYSP,1408,0,0,1,178,0,7,0,0,0,0,2,0,0,0,0,52,0,0,0,0,3,0,243
129,REM,1408,0,0,3,230,0,4,0,0,0,0,6,0,0,0,0,17,0,0,0,0,1,0,261
101,REM,1409,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,1,0,0,0,1,238,0,255
103,RAN,1409,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,221,0,230
105,BYSP,1409,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,233,0,240
107,XSP,1409,3,0,0,0,1,0,1,1,1,0,26,2,1,0,1,4,0,1,0,0,223,1,259
109,RAN,1409,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,240,0,246
111,REM,1409,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,235,0,239
113,XSP,1409,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,258,0,261
115,BYSP,1409,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,254,0,261
117,RAN,1409,2,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,250,0,258
119,CON,1409,0,0,0,215,0,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,18,0,252
121,CON,1409,0,0,0,209,0,0,0,0,0,0,4,0,0,0,0,46,0,0,0,0,18,0,277
123,XSP,1409,1,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,252,0,259
125,CON,1409,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,262
127,BYSP,1409,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,246,0,248
129,REM,1409,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,255,0,262
101,REM,1509,0,13,63,7,0,3,0,0,2,0,4,0,0,0,0,198,5,0,0,0,17,4,316
103,RAN,1509,1,11,43,8,0,2,0,0,0,1,17,1,0,0,0,222,1,0,3,0,0,0,310
105,BYSP,1509,3,15,17,4,0,11,0,0,0,0,1,1,0,0,0,233,4,0,4,0,3,1,297
107,XSP,1509,7,9,77,2,0,0,0,0,0,0,9,0,0,0,0,190,4,0,2,0,0,0,300
109,RAN,1509,7,5,84,3,0,1,0,0,0,1,5,1,0,0,0,203,0,0,0,0,0,0,310
111,REM,1509,0,14,125,4,0,0,0,0,0,0,13,0,0,0,0,148,2,0,0,0,0,4,310
113,XSP,1509,4,6,92,5,0,0,0,0,0,4,9,0,0,0,0,188,0,1,0,0,0,0,309
115,BYSP,1509,7,5,77,12,0,0,0,0,0,0,6,2,0,0,0,175,0,0,0,0,0,0,284
117,RAN,1509,3,11,79,2,0,1,0,0,0,3,3,0,0,0,0,181,2,0,0,0,0,3,288
119,CON,1509,0,1,18,52,0,9,0,0,0,0,2,0,0,5,0,205,25,0,0,0,0,0,317
121,CON,1509,0,1,26,116,0,3,0,0,0,0,2,0,0,0,0,159,4,1,0,0,1,1,314
123,XSP,1509,6,5,32,0,0,8,0,0,0,2,7,1,0,0,0,231,4,0,0,0,0,0,296
125,CON,1509,0,0,9,206,0,0,0,0,0,0,12,0,0,0,0,83,1,0,0,0,0,0,311
127,BYSP,1509,5,6,104,3,0,0,0,0,0,2,16,1,0,0,0,176,0,0,0,0,0,0,313
129,REM,1509,0,3,133,2,0,1,0,0,0,0,25,0,0,0,0,118,1,4,3,0,0,1,291
101,REM,1510,0,8,59,1,0,0,0,0,0,0,2,0,0,0,0,222,0,0,0,0,4,1,297
103,RAN,1510,2,7,17,1,0,4,0,0,0,0,5,1,0,0,0,269,2,0,0,0,1,1,310
105,BYSP,1510,4,15,6,0,0,14,0,0,0,2,2,3,0,0,0,244,1,0,1,0,1,0,293
107,XSP,1510,5,5,45,1,0,3,0,0,0,1,1,2,0,0,0,232,0,0,2,0,0,0,297
109,RAN,1510,7,10,63,0,0,1,0,0,0,0,1,2,0,0,0,220,0,0,0,0,1,0,305
111,REM,1510,0,12,119,0,0,0,0,0,0,0,11,0,0,0,0,162,5,0,0,0,0,1,310
113,XSP,1510,7,8,68,0,0,1,0,0,0,4,1,2,0,0,0,208,1,0,0,0,0,0,300
115,BYSP,1510,6,2,66,0,0,5,0,0,0,1,2,1,0,0,0,235,0,0,0,0,0,0,318
117,RAN,1510,6,10,51,0,0,1,0,0,0,1,1,2,0,0,0,219,4,0,0,0,0,1,296
119,CON,1510,0,1,18,52,0,9,0,0,0,0,2,0,0,5,0,205,25,0,0,0,0,0,317
121,CON,1510,0,1,26,116,0,3,0,0,0,0,2,0,0,0,0,159,4,1,0,0,1,1,314
123,XSP,1510,9,3,26,0,0,3,0,0,0,1,5,1,0,0,0,250,1,0,0,0,0,0,299
125,CON,1510,0,0,9,206,0,0,0,0,0,0,12,0,0,0,0,83,1,0,0,0,0,0,311
127,BYSP,1510,2,6,95,0,0,0,0,0,0,1,6,3,0,0,0,196,0,0,0,0,0,0,309
129,REM,1510,0,5,117,0,1,1,0,0,0,0,18,0,0,0,0,148,1,1,1,0,2,1,296
101,REM,1606,0,4,39,1,0,3,0,0,0,0,5,0,0,0,0,234,5,0,0,0,0,3,294
103,RAN,1606,3,0,11,1,0,5,0,0,0,3,8,2,0,0,0,273,7,0,0,0,0,0,313
105,BYSP,1606,7,0,2,2,0,9,0,0,0,3,3,0,0,0,0,268,2,0,0,0,2,0,298
107,XSP,1606,9,0,25,3,0,0,0,0,0,2,10,1,0,0,0,240,7,0,1,0,1,3,302
109,RAN,1606,9,1,57,0,0,0,0,0,0,2,4,0,0,0,0,241,0,0,0,0,0,0,314
111,REM,1606,0,5,123,0,0,0,0,0,0,0,23,0,0,0,0,160,1,0,0,0,0,0,312
113,XSP,1606,9,5,37,1,0,3,0,0,0,4,9,2,0,0,0,235,0,0,0,0,0,0,305
115,BYSP,1606,5,4,42,2,0,0,0,0,0,2,18,3,0,0,0,204,0,0,0,0,0,0,280
117,RAN,1606,8,2,46,0,0,0,0,0,0,3,5,2,0,0,0,215,7,0,1,0,0,1,290
119,CON,1606,0,0,23,50,0,6,0,0,0,0,1,0,0,6,0,203,25,0,0,0,0,0,314
121,CON,1606,0,1,38,31,0,2,0,0,0,0,5,0,0,0,0,183,15,0,0,0,0,0,275
123,XSP,1606,8,1,17,1,0,5,0,0,1,2,16,1,0,0,0,222,14,0,0,0,0,2,290
125,CON,1606,0,6,79,62,0,0,0,0,0,0,20,0,0,0,0,129,15,0,0,0,0,0,311
127,BYSP,1606,6,0,85,8,0,1,0,0,0,3,19,4,0,0,0,174,0,0,1,0,0,0,301
129,REM,1606,0,4,87,1,0,0,0,0,0,0,53,0,0,0,0,148,0,0,0,0,0,0,293
101,REM,1609,0,1,39,1,1,1,0,0,2,0,13,0,0,0,0,237,3,0,1,0,0,1,300
103,RAN,1609,5,0,10,1,0,0,0,0,0,1,0,2,0,0,0,285,7,0,1,0,0,1,313
105,BYSP,1609,8,2,15,1,0,0,0,0,2,1,5,1,0,0,0,256,1,0,2,0,1,0,295
107,XSP,1609,10,0,51,1,0,0,0,0,0,3,6,2,0,0,0,219,3,0,2,0,0,0,297
109,RAN,1609,10,3,113,3,0,1,0,0,0,2,3,1,0,0,0,179,0,0,0,0,0,0,315
111,REM,1609,0,5,123,0,0,0,0,0,0,0,23,0,0,0,0,160,1,0,0,0,0,0,312
113,XSP,1609,6,3,55,0,0,0,0,0,0,4,3,3,0,0,0,219,3,0,1,0,0,0,297
115,BYSP,1609,7,2,61,1,0,0,0,0,0,2,25,1,0,0,0,185,0,0,0,0,1,0,285
117,RAN,1609,10,2,52,0,0,2,0,0,0,6,11,1,0,0,0,207,4,0,1,0,0,0,296
119,CON,1609,0,2,33,11,0,1,0,0,0,0,0,0,0,4,0,239,22,0,0,0,0,0,312
121,CON,1609,0,2,31,21,0,1,0,0,0,0,3,0,0,0,0,248,7,0,0,0,0,0,313
123,XSP,1609,11,4,17,0,0,3,0,0,0,1,8,0,0,0,0,242,12,0,0,0,0,0,298
125,CON,1609,0,3,102,27,0,0,0,0,0,0,17,0,0,0,0,146,12,0,0,0,1,0,308
127,BYSP,1609,3,10,87,2,0,0,0,0,0,3,6,2,0,0,0,184,0,0,0,0,0,0,297
129,REM,1609,0,4,112,0,0,0,0,0,0,0,40,0,0,0,0,137,1,0,1,0,0,0,295
101,REM,1709,0,0,148,1,0,0,0,0,1,0,20,2,0,0,0,107,0,0,0,0,7,7,293
103,RAN,1709,8,0,60,1,0,2,0,0,0,4,58,2,0,0,1,157,0,0,6,0,0,3,302
105,BYSP,1709,19,0,64,1,0,3,0,0,1,2,13,4,0,0,0,166,0,0,10,0,1,2,286
107,XSP,1709,33,0,95,5,0,1,0,0,0,1,30,6,0,0,0,149,0,0,1,0,1,1,323
109,RAN,1709,19,0,74,2,0,4,0,0,0,2,24,3,0,0,0,191,0,0,0,0,0,0,319
111,REM,1709,0,0,132,1,0,0,0,0,0,0,53,1,0,0,0,102,0,0,0,1,0,0,290
113,XSP,1709,21,0,101,0,0,0,0,0,0,5,13,3,0,0,0,159,0,0,1,0,0,2,305
115,BYSP,1709,17,0,59,0,0,0,0,0,0,7,38,2,0,0,0,159,0,0,0,0,0,1,283
117,RAN,1709,11,0,84,0,0,0,0,0,0,6,28,3,0,0,0,160,0,0,4,0,0,0,296
119,CON,1709,0,0,120,0,0,2,0,0,0,0,20,0,0,6,0,164,1,0,0,0,0,1,314
121,CON,1709,0,0,156,1,0,0,0,0,0,0,29,1,0,0,0,120,0,0,0,1,0,2,310
123,XSP,1709,25,0,41,0,0,7,0,0,0,3,6,5,0,0,0,208,1,0,1,0,0,2,299
125,CON,1709,0,0,127,4,0,0,0,0,0,0,31,0,0,0,0,139,1,0,4,0,0,3,309
127,BYSP,1709,10,0,97,1,0,0,0,0,0,6,36,3,0,0,0,145,0,0,2,0,0,0,300
129,REM,1709,0,0,122,0,0,0,0,0,0,0,41,2,0,0,0,126,0,0,0,0,1,1,293
101,REM,1809,0,0,80,5,0,4,0,0,1,0,8,10,0,0,0,190,0,0,0,0,0,0,298
103,RAN,1809,23,1,75,0,0,0,1,0,0,4,15,6,0,0,1,177,0,0,0,0,0,0,303
105,BYSP,1809,31,0,38,0,1,0,0,0,0,7,6,6,0,0,0,197,0,0,0,0,0,0,286
107,XSP,1809,40,0,56,4,0,0,0,0,1,3,5,12,0,0,0,172,0,0,0,0,0,0,293
109,RAN,1809,29,0,60,0,0,1,0,1,0,2,19,6,0,0,0,195,0,0,0,0,0,0,313
111,REM,1809,0,0,105,3,0,0,0,0,0,0,12,3,0,0,0,182,0,0,0,0,0,0,305
113,XSP,1809,27,0,57,0,0,0,0,0,0,4,20,7,0,0,0,188,0,0,0,0,0,0,303
115,BYSP,1809,29,0,70,1,0,0,0,0,0,3,13,7,0,0,0,185,0,0,0,0,0,0,308
117,RAN,1809,15,0,50,1,0,0,0,0,0,7,14,11,0,0,0,205,0,0,0,0,0,0,303
119,CON,1809,0,0,94,0,0,2,0,0,0,0,12,0,1,6,0,173,0,0,0,0,0,0,288
121,CON,1809,0,0,110,2,0,0,0,0,0,0,8,4,0,0,0,179,0,0,0,0,0,0,303
123,XSP,1809,37,0,14,1,0,6,0,0,1,4,9,5,0,0,0,216,0,0,0,0,0,0,293
125,CON,1809,0,0,77,2,0,0,0,0,0,0,14,0,0,0,0,208,0,0,0,0,0,0,301
127,BYSP,1809,18,0,62,3,0,1,0,0,0,4,8,11,0,0,0,177,0,0,0,0,0,0,284
129,REM,1809,0,0,55,1,0,0,0,0,0,0,19,5,0,0,0,222,0,0,0,0,0,0,302
